TrainingType,BrainTypeVegan,SurvivorPercentageVegan,SurvivorAvgAgeVegan,BrainTypeCarnivore,SurvivorPercentageCarnivore,SurvivorAvgAgeCarnivore
veg_POCA__carn_SAC,POCA,0.900000000,9340.900000000,SAC,0.066666670,5824.533000000
veg_POCA__carn_SAC,POCA,0.733333349,8363.400000000,SAC,0.066666670,6300.200000000
veg_POCA__carn_SAC,POCA,0.866666700,9475.767000000,SAC,0.400000000,8210.866000000
veg_POCA__carn_SAC,POCA,0.800000000,8548.667000000,SAC,0.733333349,8782.866000000
veg_POCA__carn_SAC,POCA,0.833333300,8863.000000000,SAC,0.200000000,7736.333500000
veg_POCA__carn_SAC,POCA,0.766666651,8585.767000000,SAC,0.266666681,7394.866700000
veg_POCA__carn_SAC,POCA,0.866666700,8961.333000000,SAC,0.400000000,7373.800000000
veg_POCA__carn_SAC,POCA,0.933333337,9408.200000000,SAC,0.200000000,7508.800000000
veg_POCA__carn_SAC,POCA,0.800000000,8603.467000000,SAC,0.466666669,7965.133300000
veg_POCA__carn_SAC,POCA,0.966666639,9772.366000000,SAC,0.333333343,7881.467000000
veg_POCA__carn_SAC,POCA,0.933333337,9519.134000000,SAC,0.066666670,5214.400000000
veg_POCA__carn_SAC,POCA,0.866666700,9412.467000000,SAC,0.266666681,6897.533000000
veg_POCA__carn_SAC,POCA,0.833333300,9610.100000000,SAC,0.400000000,6911.067000000
veg_POCA__carn_SAC,POCA,0.933333337,9489.400000000,SAC,0.333333343,6687.866700000
veg_POCA__carn_SAC,POCA,0.900000000,9248.500000000,SAC,0.200000000,6947.666500000
veg_POCA__carn_SAC,POCA,0.900000000,9275.100000000,SAC,0.000000000,4136.666500000
veg_POCA__carn_SAC,POCA,0.933333337,9494.800000000,SAC,0.133333340,5152.400000000
veg_POCA__carn_SAC,POCA,0.966666639,9824.000000000,SAC,0.333333343,6549.533000000
veg_POCA__carn_SAC,POCA,0.866666700,9404.733000000,SAC,0.133333340,5624.400000000
veg_POCA__carn_SAC,POCA,0.766666651,7980.433000000,SAC,0.133333340,5316.400000000
veg_POCA__carn_SAC,POCA,0.666666700,7497.967000000,SAC,0.200000000,6377.266600000
veg_POCA__carn_SAC,POCA,0.800000000,8859.200000000,SAC,0.266666681,7206.133300000
veg_POCA__carn_SAC,POCA,0.866666700,9331.667000000,SAC,0.266666681,7261.333500000
veg_POCA__carn_SAC,POCA,0.900000000,9380.366000000,SAC,0.266666681,6506.666500000
veg_POCA__carn_SAC,POCA,0.900000000,9269.566000000,SAC,0.066666670,5547.400000000
veg_POCA__carn_SAC,POCA,0.733333349,8504.733000000,SAC,0.066666670,5572.933000000
veg_POCA__carn_SAC,POCA,0.933333337,9472.833000000,SAC,0.266666681,6329.467000000
veg_POCA__carn_SAC,POCA,0.900000000,9298.200000000,SAC,0.200000000,6563.266600000
veg_POCA__carn_SAC,POCA,0.866666700,8965.134000000,SAC,0.066666670,5211.200000000
veg_POCA__carn_SAC,POCA,0.866666700,9032.667000000,SAC,0.200000000,6768.467000000
veg_POCA__carn_SAC,POCA,0.866666700,9159.967000000,SAC,0.066666670,7005.666500000
veg_POCA__carn_SAC,POCA,0.866666700,9235.767000000,SAC,0.266666681,6448.200000000
veg_POCA__carn_SAC,POCA,0.900000000,9462.634000000,SAC,0.133333340,6133.666500000
